ID,Molecule_max_phase,Molecular weight,RO5_violations,AlogP,Label,features_5,features_7,features_8,features_9,features_10,features_11,features_12,features_3152,features_3153,features_3154,features_3155,features_3156,features_3157,features_3158,features_3159,features_3160,features_3161,features_3162,features_3163,features_3164,features_3165,features_3166,features_3167,features_3168
1003,0,0.206753959,0,0.608040201,3.19047635,0,2,0,10,0,0,3,448.2485838,1.25,1.9375,2.59375,415.275,0.388373413,0.337172495,0.337172495,-0.388373413,0,176,448.539,2.3342,8,2,88.73,5
1819,0,0.130055894,0,0.59184813,9.740968623,0,0,0,5,0,0,5,310.1542092,1.173913043,2.043478261,2.826086957,292.217,0.381651516,0.184109041,0.184109041,-0.381651516,0,118,310.361,2.0396,7,2,91.74,3
6090,0,0.162482446,0,0.592964824,10.54534144,0,0,0,3,0,0,7,368.0788513,1.115384615,1.961538462,2.807692308,355.68,0.337353934,0.262929532,0.262929532,-0.337353934,0,130,368.784,2.0564,8,0,99.59,5
3916,0,0.112266251,0,0.652149637,3.206803244,0,1,0,0,0,0,9,278.1055277,1,1.761904762,2.476190476,264.199,0.507686517,0.345461189,0.345461189,-0.507686517,0,104,278.311,3.11792,4,2,65.98,2
8480,0,0.161722015,0,0.741485204,10.95080655,0,1,0,0,0,0,13,367.1433102,0.821428571,1.642857143,2.5,350.276,0.467687072,0.302594082,0.302594082,-0.467687072,0,136,367.412,4.7209,6,1,64.86,4
1701,0,0.230016485,0,0.734226689,12.16525065,0,3,0,7,0,0,4,489.1255828,1.225806452,1.967741935,2.612903226,461.221,0.473884644,0.234368203,0.234368203,-0.473884644,0,172,490.453,4.5942,7,1,90.29,12
5909,4,0.144554038,0,0.709101061,-0.223143551,0,1,0,7,0,0,10,336.2201635,1,1.6,2.2,308.255,0.309289918,0.226459264,0.226459264,-0.309289918,0,132,336.479,4.1367,3,0,23.55,6
3673,0,0.207275714,0,0.628140704,10.1266311,0,1,0,8,0,0,4,449.2150931,1.21875,1.96875,2.625,423.273,0.433004574,0.433004574,0.381889662,-0.381889662,0,172,449.481,2.691,8,3,96.07,6
1690,0,0.198844367,0,0.628699051,9.392661929,0,0,0,4,0,0,5,433.0820781,1.24137931,2.068965517,2.793103448,417.151,0.490840256,0.31494233,0.31494233,-0.490840256,0,150,434.287,2.7024,9,4,125.18,5
2931,0,0.232858388,0,0.704634283,16.30041721,0,1,0,9,0,0,7,495.1803474,0.823529412,1.441176471,2,467.343,0.415912063,0.415912063,0.370889902,-0.370889902,0,184,495.567,4.0616,6,0,60.93,4
499,0,0.228484522,1,0.768285874,12.23076526,0,2,0,12,0,0,8,487.3198776,0.805555556,1.444444444,2.027777778,446.36,0.338513766,0.253890538,0.253890538,-0.338513766,0,192,487.688,5.20134,5,0,43.86,6
7115,4,0.046697121,0,0.529313233,4.442651256,0,0,0,0,0,0,5,160.0748963,1.25,2.083333333,2.916666667,152.116,0.306453866,0.170033375,0.170033375,-0.306453866,0,60,160.18,0.9154,4,3,63.83,1
6028,0,0.253462181,1,0.720826354,13.42837641,0,3,0,8,0,0,8,532.3049558,1.076923077,1.871794872,2.641025641,492.365,0.494568552,0.228403996,0.228403996,-0.494568552,0,208,532.685,4.35022,8,2,84.83,11
3942,0,0.130616504,0,0.595756561,8.987196821,0,1,0,2,0,0,6,311.084081,1.272727273,2.136363636,3,298.266,0.32449295,0.274966029,0.274966029,-0.32449295,0,110,311.37,2.1114,6,0,65.08,3
5567,0,0.146124855,0,0.673366834,4.759349437,0,1,0,2,0,0,8,339.108228,1.166666667,1.875,2.458333333,323.185,0.572596301,0.572596301,0.405799665,-0.405799665,0,128,339.313,3.5035,4,1,51.58,3
8258,4,0.096741248,0,0.677275265,14.42527613,0,4,0,3,0,0,3,250.1568946,1.333333333,2,2.611111111,228.162,0.49331156,0.308563999,0.308563999,-0.49331156,0,100,250.338,3.57324,3,1,46.53,6
3402,0,0.208413586,0,0.689558906,10.37349118,0,1,0,4,0,0,11,451.2120584,1,1.882352941,2.647058824,426.334,0.332431409,0.329335246,0.329335246,-0.332431409,0,170,451.534,3.78582,8,0,83.42,7
2909,0,0.205005523,0,0.625907314,8.699514748,0,3,0,7,0,0,3,444.1694962,1.103448276,1.689655172,2.24137931,415.151,0.387950637,0.314736559,0.314736559,-0.387950637,0,162,445.391,2.6478,7,4,93.7,6
3081,0,0.135639789,1,0.758235623,13.31858784,0,1,0,1,0,0,10,320.0983341,1,1.869565217,2.739130435,304.289,0.496684969,0.166191382,0.166191382,-0.496684969,0,114,320.417,5.017,3,1,37.91,4
6254,2,0.126703338,0,0.644332775,0.470003629,0,1,0,2,0,0,6,304.133554,1.272727273,2,2.636363636,287.189,0.449606222,0.411220937,0.411220937,-0.449606222,0,116,304.325,2.9834,6,4,89.27,5
1761,0,0.136744356,0,0.666108319,11.39639165,0,2,0,3,0,0,9,322.1681279,1.166666667,2,2.708333333,300.232,0.394534262,0.255654301,0.255654301,-0.394534262,0,124,322.408,3.36912,4,1,44.95,5
5168,4,0.105649946,0,0.675041876,2.379546134,0,1,0,5,0,0,8,266.1782987,0.9,1.45,2,244.212,0.340990971,0.044296112,0.044296112,-0.340990971,0,104,266.388,3.5328,2,1,15.27,4
3180,0,0.119448715,0,0.627582356,8.006367568,0,0,0,0,0,0,6,291.055638,1.045454545,1.863636364,2.545454545,285.197,0.333559135,0.25793997,0.25793997,-0.333559135,0,104,291.245,2.68106,6,0,99.39,2
3728,0,0.241767086,1,0.64544947,10.28874995,0,4,0,8,0,1,2,511.2264684,1.314285714,1.942857143,2.485714286,477.348,0.361165102,0.233204174,0.233204174,-0.361165102,0,194,511.62,2.99504,10,1,129.73,11
5426,0,0.197295752,0,0.609715243,2.360854001,0,1,0,4,0,0,10,431.1957397,1.25,2.09375,2.84375,406.296,0.388572728,0.254860689,0.254860689,-0.388572728,0,164,431.496,2.3647,8,2,94.2,5
3865,0,0.344258746,1,0.681183696,12.84264947,0,5,0,8,0,0,10,695.2544327,0.9375,1.645833333,2.291666667,653.934,0.496767112,0.270567467,0.270567467,-0.496767112,0,256,696.27,3.6363,11,0,102.94,9
8574,0,0.278473143,2,0.762144054,11.1124479,0,4,0,9,0,0,7,577.3428185,1.047619048,1.714285714,2.333333333,533.393,0.390180906,0.279713785,0.279713785,-0.390180906,0,226,577.745,5.0884,8,3,102.72,7
6486,0,0.180627328,0,0.647124511,10.16585182,0,1,0,5,0,0,9,401.185175,1.1,1.9,2.633333333,378.286,0.377773787,0.25353536,0.25353536,-0.377773787,0,152,401.47,3.0266,7,1,76.04,4
5980,0,0.188414807,0,0.662199888,3.63758616,0,0,0,5,0,0,11,415.200825,1.064516129,1.870967742,2.64516129,390.297,0.390992182,0.27223739,0.27223739,-0.390992182,0,158,415.497,3.3036,7,2,84.97,5
7887,0,0.152857722,0,0.694025684,11.31447453,0,1,0,2,0,0,7,351.1153812,1.12,1.96,2.8,334.299,0.467932574,0.298068786,0.298068786,-0.467932574,0,126,351.435,3.8652,6,1,64.86,4
683,0,0.079478911,0,0.54438861,18.42068074,0,0,0,5,0,0,3,219.0895433,1.25,2.125,2.9375,206.136,0.45359548,0.230800367,0.230800367,-0.45359548,0,84,219.24,1.1901,4,0,38.77,2
